relpath,mode,cfg,policy,traces,runtime_s,ipc_system,ipc_mean_core,l1_miss_pct,l2_miss_pct,llc_miss_pct,llc_hit_rate,llc_writes,l1_access,l2_access,llc_access,l1_miss,l2_miss,llc_miss,llc_hit,total_instr,total_cycles
task2_multicore/assoc_sweep/4MB_16way/lru/output.log,assoc,4MB_16way,lru,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",335.0,1.034369398002059,0.82254775,8.528308614148859,37.01943370383666,24.414902830859724,75.58509716914028,547254.0,15133927.0,2186665.0,1356655.0,1290668.0,809491.0,331226.0,1025429.0,40000009.0,38670913.0
task2_multicore/assoc_sweep/4MB_8way/lru/output.log,assoc,4MB_8way,lru,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",343.0,0.932182543309543,0.65308425,8.538991878322573,37.026750782584436,28.273844387911097,71.7261556120889,547749.0,15114981.0,2186665.0,1357311.0,1290667.0,809651.0,383764.0,973547.0,40000007.0,42910058.0
task2_multicore/baseline_4MB_16way/drrip/output.log,policy,baseline_4MB_16way,drrip,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",346.0,1.028846961095187,0.8202627499999999,8.569972719180463,37.30412541095649,24.275388781928616,75.72461121807137,553515.0,15060398.0,2186667.0,1369148.0,1290672.0,815717.0,332366.0,1036782.0,40000006.0,38878480.0
task2_multicore/baseline_4MB_16way/htc/output.log,policy,baseline_4MB_16way,htc,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",342.0,1.0367822526556911,0.82269875,8.52814319631691,37.020011286588804,24.398144940525768,75.60185505947423,547317.0,15134244.0,2186666.0,1356722.0,1290670.0,809504.0,331015.0,1025707.0,40000009.0,38580916.0
task2_multicore/baseline_4MB_16way/lru/output.log,policy,baseline_4MB_16way,lru,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",348.0,1.034369398002059,0.82254775,8.528308614148859,37.01943370383666,24.414902830859724,75.58509716914028,547254.0,15133927.0,2186665.0,1356655.0,1290668.0,809491.0,331226.0,1025429.0,40000009.0,38670913.0
task2_multicore/baseline_4MB_16way/mru/output.log,policy,baseline_4MB_16way,mru,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",385.0,0.7063589831123904,0.63268775,8.536844451587855,37.032568864189614,36.2997468264892,63.7002531735108,547479.0,15118830.0,2186659.0,1357172.0,1290671.0,809776.0,492650.0,864522.0,40000008.0,56628441.0
task2_multicore/baseline_4MB_16way/random/output.log,policy,baseline_4MB_16way,random,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",339.0,1.0039420783736301,0.7764745000000001,8.55694191413396,38.35527167244641,24.97620381827137,75.02379618172863,576526.0,15083239.0,2186659.0,1415143.0,1290664.0,838699.0,353449.0,1061694.0,40000006.0,39842942.0
task2_multicore/baseline_4MB_16way/ship/output.log,policy,baseline_4MB_16way,ship,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",335.0,1.0902603811238996,0.83343825,8.55379056045927,37.29809204990305,27.749126394608815,72.25087360539119,553257.0,15088679.0,2186640.0,1368753.0,1290654.0,815575.0,379817.0,988936.0,40000006.0,36688489.0
task2_multicore/baseline_4MB_16way/srrip/output.log,policy,baseline_4MB_16way,srrip,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",335.0,1.0429360510085306,0.83144175,8.529436838359253,36.97415236022061,25.398150403353775,74.60184959664622,546485.0,15131890.0,2186660.0,1354890.0,1290665.0,808499.0,344117.0,1010773.0,40000009.0,38353271.0
task2_multicore/size_sweep/1MB_16way/lru/output.log,size,1MB_16way,lru,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",341.0,0.8567972649665213,0.5788424999999999,8.537996662762817,37.018778065229554,35.38383871883026,64.61616128116974,547502.0,15116696.0,2186647.0,1356885.0,1290663.0,809470.0,480118.0,876767.0,40000007.0,46685498.0
task2_multicore/size_sweep/2MB_16way/lru/output.log,size,2MB_16way,lru,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",342.0,0.9286126622808301,0.65925825,8.542726838772296,37.022435067815564,27.807033383327866,72.19296661667214,547350.0,15108396.0,2186666.0,1356815.0,1290669.0,809557.0,377290.0,979525.0,40000009.0,43075020.0
task2_multicore/size_sweep/4MB_16way/lru/output.log,size,4MB_16way,lru,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",334.0,1.034369398002059,0.82254775,8.528308614148859,37.01943370383666,24.414902830859724,75.58509716914028,547254.0,15133927.0,2186665.0,1356655.0,1290668.0,809491.0,331226.0,1025429.0,40000009.0,38670913.0
task2_multicore/size_sweep/8MB_16way/lru/output.log,size,8MB_16way,lru,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",309.0,1.2105204431738557,0.883271,8.525897724977959,36.973861060310675,23.88973887192613,76.11026112807387,546522.0,15138183.0,2186661.0,1354929.0,1290666.0,808493.0,323689.0,1031240.0,40000009.0,33043646.0
